PRT_ID,AREA,INT_SQFT,SALE_YEAR,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILD_YEAR,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,INF_PRICE,NO. YEARS PASSED,1+0.04,Z*AA
P05774,KK Nagar,1338,2009,25-12-2009,116,2,1,4,Normal Sale,No,27-12-2000,2000,Commercial,AllPub,Gravel,RL,3.6,3.2,2.9,3.2,411103,231246,12846980,18285258.39,9,1.04,1.423311812
P03918,KK Nagar,1319,2010,15-12-2010,129,1,1,3,Ab Normal,No,22-12-1980,1980,Others,NoSewer ,Paved,RH,3.2,3.1,3,3.09,375685,86095,7826780,25385358.76,30,1.04,3.24339751
P03564,Chrompet,1251,2011,28-02-2011,133,2,1,4,Ab Normal,No,08-03-1976,1976,Commercial,AllPub,Gravel,RL,3.4,3.3,2.2,3,370236,213598,14239850,56191715.36,35,1.04,3.946088994
P00796,Anna Nagar,1710,2013,17-07-2013,32,1,1,4,Partial,No,27-07-1974,1974,Commercial,NoSewer ,Gravel,RH,3.5,3.5,3.8,3.62,603899,347700,18299980,84479405.26,39,1.04,4.616365988
P03153,Adyar,617,2011,16-05-2011,89,1,1,2,Partial,No,25-05-1975,1975,Others,NoSewer ,Paved,C,3.2,3.5,4.6,3.96,186882,54097,4917940,20182894.06,36,1.04,4.103932554
P09018,Adyar,916,2007,12-05-2007,107,1,1,3,Partial,No,21-05-1969,1969,Others,AllPub,Gravel,A,2.5,2.3,2,2.21,228552,30885,6177070,27418861.4,38,1.04,4.43881345
P00480,Chrompet,1027,2014,13-03-2014,47,1,1,3,Family,No,22-03-1978,1978,House,ELO,No Access,RM,2.9,2.8,4,3.19,207122,61370,7671200,31482087.41,36,1.04,4.103932554
P08361,Adyar,1223,2008,30-01-2008,99,2,2,4,Partial,No,06-02-1978,1978,Others,AllPub,No Access,A,4,3.6,4.4,4.12,248308,27590,6897450,22371172.16,30,1.04,3.24339751
P05547,Adyar,1219,2010,05-02-2010,108,2,2,4,Family,No,11-02-1986,1986,House,NoSewer ,No Access,I,2.2,3.7,2.7,2.75,281210,59202,7400260,18969117.28,24,1.04,2.563304165
P06230,Karapakkam,1208,2009,01-10-2009,198,1,1,3,Ab Normal,No,06-10-1988,1988,Others,NoSewer ,Gravel,C,4,4.8,4.1,4.28,229599,51022,6377750,14533413.05,21,1.04,2.278768069
P06113,Karapakkam,522,2009,20-10-2009,95,1,1,2,Ab Normal,No,24-10-1992,1992,House,AllPub,Gravel,C,4.8,4.4,2.3,3.68,205049,109069,4362750,8498202.887,17,1.04,1.947900496
P02146,Karapakkam,1610,2011,30-11-2011,195,2,2,4,Partial,No,07-12-1980,1980,Commercial,NoSewer ,Gravel,RL,3.8,3.6,3.6,3.66,525851,225365,12520250,42232473.58,31,1.04,3.37313341
P02130,Karapakkam,668,2011,04-12-2011,43,1,1,2,Partial,No,16-12-1961,1961,House,AllPub,Gravel,RH,4.9,4.6,5,4.85,204068,78488,5232500,37185720.61,50,1.04,7.106683346
P06458,Karapakkam,740,2009,13-08-2009,150,1,1,2,Ab Normal,No,21-08-1977,1977,House,AllPub,Paved,RH,2.1,4.8,4,3.67,211320,95094,5283000,18533074.36,32,1.04,3.508058747
P05486,Anna Nagar,1650,2010,16-02-2010,22,1,1,4,Ab Normal,No,23-02-1981,1981,Commercial,NoSewer ,No Access,RH,3.6,2.3,2.4,2.795,547681,239610,17115030,53375813.16,29,1.04,3.118651452
P05795,Anna Nagar,1663,2009,21-12-2009,64,1,1,4,Partial,No,26-12-1988,1988,Others,NoSewer ,Gravel,RL,4.9,2,4.8,4.135,411826,154435,12869560,29326742.39,21,1.04,2.278768069
P02435,Velachery,1913,2011,05-10-2011,164,3,2,5,Partial,No,09-10-1995,1995,House,NoSewer ,No Access,A,4,4,4.8,4.24,267167,119522,7030720,13168406.7,16,1.04,1.872981246
P03392,Velachery,1963,2011,03-04-2011,195,3,2,5,Ab Normal,No,05-04-2002,2002,House,NoSewer ,Paved,C,2.2,2.2,3.8,2.68,336842,103644,8636980,12293115.66,9,1.04,1.423311812
P08145,T Nagar,1806,2008,09-04-2008,48,2,1,5,Adj Land,No,15-04-1987,1987,Others,NoSewer ,Paved,RM,4.8,3.9,4.5,4.44,439164,102472,14638800,33358430,21,1.04,2.278768069
P07488,Velachery,1630,2008,24-10-2008,78,2,1,4,Partial,No,30-10-1984,1984,House,AllPub,Gravel,A,4.6,4.6,2.6,4,283900,94633,7279480,18659521.4,24,1.04,2.563304165
P04951,Karapakkam,1016,2010,28-05-2010,69,1,1,3,Ab Normal,No,05-06-1977,1977,House,NoSewer ,Gravel,A,3,2.2,3,2.76,170003,80528,4473750,16321944.93,33,1.04,3.648381097
P00362,Chrompet,1185,2014,07-06-2014,92,1,1,3,Adj Land,No,14-06-1984,1984,Commercial,AllPub,No Access,RH,3.2,3.6,3.2,3.36,384019,99102,12387700,40178235.33,30,1.04,3.24339751
P05824,Karapakkam,1478,2009,16-12-2009,71,2,2,4,Normal Sale,No,28-12-1960,1960,House,ELO,No Access,A,4.9,4.9,4.6,4.78,182809,62423,4458750,30468196.51,49,1.04,6.833349371
P00747,T Nagar,1856,2013,20-08-2013,76,2,1,5,Normal Sale,No,30-08-1972,1972,Commercial,NoSewer ,Paved,RH,3.8,3.7,3.5,3.64,684272,136854,19550620,97617447.11,41,1.04,4.993061453
P03570,KK Nagar,2439,2011,27-02-2011,162,4,2,6,Partial,No,05-03-1985,1985,House,NoSewer ,Gravel,RH,4,4,4.1,4.04,366951,111197,11119720,30829087.71,26,1.04,2.772469785
P04009,KK Nagar,1693,2010,25-11-2010,119,2,1,4,Ab Normal,No,27-11-2000,2000,Others,AllPub,Gravel,RM,3.9,4.7,3.3,3.9,411540,182907,11431660,16921649.38,10,1.04,1.480244285
P05746,Anna Nagar,1737,2009,31-12-2009,174,1,1,4,Adj Land,No,06-01-1988,1988,Others,NoSewer ,Paved,RH,3.1,2.1,4,3.21,319831,115139,12793250,29152849.6,21,1.04,2.278768069
P02028,KK Nagar,2485,2011,23-12-2011,50,4,2,6,Normal Sale,No,25-12-2003,2003,Commercial,AllPub,Paved,RL,3.2,2.9,2.8,2.95,740382,379683,18984160,25981133.82,8,1.04,1.36856905
P02119,Karapakkam,512,2011,07-12-2011,4,1,1,2,Family,No,13-12-1985,1985,Commercial,NoSewer ,Gravel,C,3.2,3.5,3.5,3.41,167824,41956,5244500,14540217.79,26,1.04,2.772469785
P04670,Chrompet,958,2010,22-07-2010,51,1,1,3,Ab Normal,No,24-07-2001,2001,Commercial,AllPub,No Access,RH,4.5,2.7,3.5,3.48,353778,96485,10720550,15258685.45,9,1.04,1.423311812
P00541,Anna Nagar,1531,2014,21-01-2014,35,1,1,4,Ab Normal,No,26-01-1994,1994,Commercial,NoSewer ,Paved,RL,4.3,3.2,3.3,3.625,681741,139844,17480550,38302037.66,20,1.04,2.191123143
P03912,Adyar,1046,2010,16-12-2010,138,1,1,3,Normal Sale,No,23-12-1982,1982,Commercial,NoSewer ,No Access,I,4,2,2.2,2.7,408888,129123,10760220,32266707.43,28,1.04,2.998703319
P07569,KK Nagar,1465,2008,30-09-2008,11,2,1,4,Adj Land,No,03-10-1999,1999,House,NoSewer ,Gravel,RM,4.7,3,2.2,3.19,507409,182667,10148180,14444024.47,9,1.04,1.423311812
P01238,Chrompet,1126,2012,04-10-2012,96,1,1,3,Family,No,09-10-1994,1994,Others,ELO,Gravel,RH,2,3.5,3.8,3.14,293130,79944,8882720,17994760.88,18,1.04,2.025816515
P06167,Karapakkam,1368,2009,10-10-2009,144,2,2,4,Family,No,19-10-1972,1972,House,AllPub,Paved,RH,2.5,2.1,2.6,2.42,311639,108396,6774750,28915241.75,37,1.04,4.268089856
P08843,Chrompet,709,2007,28-07-2007,156,1,1,2,Family,No,31-07-1993,1993,House,NoSewer ,No Access,RL,4.2,3.8,5,4.28,199494,19306,6435300,11143857.44,14,1.04,1.731676448
P07803,T Nagar,1550,2008,29-07-2008,39,1,1,4,Normal Sale,No,03-08-1989,1989,House,ELO,Paved,RL,2.6,2.2,2.9,2.635,399932,144420,11109230,23405472.07,19,1.04,2.106849176
P07034,Velachery,1881,2009,14-03-2009,169,3,2,5,Family,No,24-03-1968,1968,Commercial,NoSewer ,Paved,RH,2.6,2.9,3.3,2.95,565335,260924,14495770,72378270.42,41,1.04,4.993061453
P05575,Adyar,641,2010,01-02-2010,168,1,1,2,Adj Land,No,05-02-1993,1993,Commercial,NoSewer ,Paved,RL,2.1,2.3,3,2.59,348175,89531,9947855,19377431.68,17,1.04,1.947900496
P08381,Anna Nagar,1912,2008,23-01-2008,53,2,1,5,Normal Sale,No,27-01-1991,1991,House,NoSewer ,Paved,RH,4.6,2.4,4,3.81,358580,74189,12364840,24085477.96,17,1.04,1.947900496
P01319,Anna Nagar,1649,2012,11-08-2012,145,1,1,4,Partial,No,14-08-2002,2002,Commercial,ELO,Gravel,RL,4.3,4.2,3.2,3.835,564110,131626,18803650,27833995.45,10,1.04,1.480244285
P02959,Karapakkam,854,2011,22-06-2011,118,1,1,2,Partial,No,23-06-2006,2006,House,AllPub,Gravel,RM,2.1,3.1,4.8,3.48,280525,98563,7581750,9224358.143,5,1.04,1.216652902
P04310,Karapakkam,1381,2010,24-09-2010,138,2,2,4,Adj Land,No,25-09-2005,2005,House,NoSewer ,Gravel,RH,2.7,4.2,2.8,3.19,281733,107721,8286250,10081490.11,5,1.04,1.216652902
P06211,Karapakkam,669,2009,05-10-2009,154,1,1,2,Ab Normal,No,14-10-1972,1972,Others,NoSewer ,No Access,RL,4.6,4.6,4.4,4.52,168634,127753,5110125,21810472.68,37,1.04,4.268089856
P01097,Chrompet,965,2012,29-12-2012,92,1,1,3,Normal Sale,No,05-01-1986,1986,Others,NoSewer ,Gravel,RM,3.8,4.3,3.9,4.03,250258,163630,9625300,26685853.42,26,1.04,2.772469785
P09622,Velachery,1899,2006,23-06-2006,91,3,2,5,Normal Sale,No,27-06-1988,1988,House,NoSewer ,Paved,C,3,4.9,3,3.86,295169,75901,8433410,17084541.26,18,1.04,2.025816515
P08819,Velachery,1553,2007,08-08-2007,52,2,1,4,Partial,No,12-08-1988,1988,House,ELO,No Access,I,4.2,3.5,2.1,3.26,216526,87964,6766430,14255847.47,19,1.04,2.106849176
P09234,Anna Nagar,1628,2007,17-02-2007,133,1,1,4,Adj Land,No,19-02-1997,1997,House,AllPub,Gravel,RL,2.8,2.9,2.3,2.625,493410,151819,12651550,18727384.58,10,1.04,1.480244285
P00542,Anna Nagar,1734,2014,21-01-2014,86,1,1,4,Ab Normal,No,27-01-1990,1990,House,ELO,No Access,RH,3.1,4.9,2.3,3.23,409406,199454,10497580,26908490.54,24,1.04,2.563304165
P02527,Karapakkam,662,2011,16-09-2011,140,1,1,2,Family,No,28-09-1961,1961,Commercial,AllPub,No Access,I,3.7,2.7,2.4,2.88,248602,111617,5073500,36055757.96,50,1.04,7.106683346
P09114,Adyar,994,2007,03-04-2007,106,1,1,3,Normal Sale,No,06-04-1995,1995,Commercial,AllPub,Gravel,A,2.9,4.9,2.8,3.25,433395,54174,10834880,17346991.96,12,1.04,1.601032219
P02223,Chrompet,1033,2011,12-11-2011,4,1,1,3,Partial,No,19-11-1983,1983,Commercial,NoSewer ,No Access,RM,4.2,2.5,4.7,3.67,304689,117188,11718800,35141204.46,28,1.04,2.998703319
P03868,Karapakkam,1462,2010,26-12-2010,182,2,2,4,Partial,No,02-01-1981,1981,House,ELO,No Access,A,4,2.6,2.9,3.14,213714,95953,4361500,13601998.31,29,1.04,3.118651452
P07207,KK Nagar,1865,2009,22-01-2009,103,3,2,5,Family,No,27-01-1991,1991,House,AllPub,Gravel,RH,4.7,4,4.1,4.25,414093,128172,9859360,19973254.32,18,1.04,2.025816515
P02822,Chrompet,828,2011,19-07-2011,116,1,1,3,Adj Land,No,24-07-1989,1989,Others,NoSewer ,No Access,RL,4.9,3.4,2.7,3.64,249251,105743,7553060,17900138.83,22,1.04,2.369918792
P00242,Chrompet,850,2014,30-08-2014,122,1,1,3,Normal Sale,No,01-09-2005,2005,House,NoSewer ,Paved,RH,2.2,2,4.8,2.9,213713,85485,7123750,10139317.52,9,1.04,1.423311812
P02589,Anna Nagar,1813,2011,06-09-2011,169,2,1,5,Partial,No,16-09-1968,1968,Others,AllPub,No Access,RL,3.5,4.5,3.1,3.59,321634,136076,12370550,66807096.73,43,1.04,5.400495268
P09905,Velachery,1973,2004,03-11-2004,91,3,2,5,Adj Land,No,15-11-1958,1958,House,NoSewer ,Gravel,C,2.1,3,3.6,2.96,322667,152370,8962970,54448453.69,46,1.04,6.074822709
P00943,Anna Nagar,1558,2013,15-04-2013,168,1,1,4,Normal Sale,No,18-04-2000,2000,House,NoSewer ,Paved,RH,2.9,4.7,4,3.79,411987,140943,10841760,18052327.35,13,1.04,1.665073507
P00086,T Nagar,1781,2014,22-12-2014,187,1,1,4,Family,No,31-12-1976,1976,Commercial,NoSewer ,No Access,RH,2.8,4.2,2.1,2.835,646524,89795,17959010,79716695.14,38,1.04,4.43881345
P03944,KK Nagar,1402,2010,08-12-2010,61,2,1,4,Partial,No,13-12-1991,1991,Commercial,NoSewer ,Gravel,RM,4.9,3,2.7,3.45,484166,248626,13085580,27569343.44,19,1.04,2.106849176
P09090,Anna Nagar,1625,2007,10-04-2007,118,1,1,4,Ab Normal,No,20-04-1966,1966,Others,NoSewer ,Gravel,RH,2.4,4.6,4.5,3.79,314222,84598,12085470,60343494.4,41,1.04,4.993061453
P09206,Anna Nagar,1724,2007,25-02-2007,136,1,1,4,Ab Normal,No,01-03-1991,1991,Others,ELO,Paved,RH,4.5,3.9,2.7,3.63,444151,160388,12337540,23107981.04,16,1.04,1.872981246
P02009,Karapakkam,657,2011,27-12-2011,63,1,1,2,Family,No,07-01-1968,1968,Others,ELO,No Access,I,4.5,4.9,4.7,4.7,112960,72878,3643875,19678729.69,43,1.04,5.400495268
P02283,Chrompet,942,2011,31-10-2011,191,1,1,3,Adj Land,No,04-11-1994,1994,House,NoSewer ,No Access,RL,2.2,5,4.7,4.07,225230,93199,7766550,15128466.59,17,1.04,1.947900496
P00759,Chrompet,1132,2013,15-08-2013,10,1,1,3,Normal Sale,No,19-08-1999,1999,Commercial,NoSewer ,Paved,RM,4.5,3.7,2.7,3.64,411291,54839,13709700,23740764.59,14,1.04,1.731676448
P01408,Chrompet,1234,2012,27-05-2012,6,2,1,4,Partial,No,06-06-1975,1975,Commercial,NoSewer ,Paved,RM,2.4,4.7,4.9,4.07,345554,55289,13822150,58994178.21,37,1.04,4.268089856
P05025,Chrompet,814,2010,15-05-2010,126,1,1,3,Ab Normal,No,21-05-1985,1985,Others,NoSewer ,Gravel,RM,3.8,2.2,4,3.22,293401,115582,8890930,23701764.21,25,1.04,2.665836331
P00627,Chrompet,878,2013,22-11-2013,48,1,1,3,Partial,No,27-11-1995,1995,Others,AllPub,Gravel,RM,2.8,4.4,3.1,3.53,248653,138140,9209360,18656473.58,18,1.04,2.025816515
P05662,Chrompet,1053,2010,16-01-2010,176,1,1,3,Family,No,21-01-1990,1990,Commercial,NoSewer ,Gravel,RM,4.5,2.3,2.9,3.14,383305,185044,13217400,28960951.03,20,1.04,2.191123143
P09510,T Nagar,1809,2006,31-10-2006,192,2,1,5,Family,No,03-11-1993,1993,Commercial,NoSewer ,Paved,RL,3.9,2.2,3.1,3.115,621070,280483,20034510,33358931.83,13,1.04,1.665073507
P00042,Anna Nagar,1871,2015,24-01-2015,25,2,1,5,Normal Sale,No,01-02-1983,1983,Others,AllPub,Gravel,RM,3.6,4.7,2.2,3.315,447127,134138,14904220,52284879.34,32,1.04,3.508058747
P08456,Adyar,1025,2007,25-12-2007,170,1,1,3,Adj Land,No,02-01-1974,1974,Others,AllPub,Gravel,RM,4.7,4.8,5,4.87,325308,32531,10843610,39561621.74,33,1.04,3.648381097
P03271,KK Nagar,1392,2011,22-04-2011,74,2,1,4,Family,No,24-04-2003,2003,Commercial,NoSewer ,Paved,RL,2.9,2.9,4,3.34,454595,196582,12286360,16814732.04,8,1.04,1.36856905
P01281,Chrompet,1279,2012,04-09-2012,126,2,1,4,Normal Sale,No,10-09-1990,1990,Others,ELO,Paved,RL,3.1,2.9,3.1,3.02,323259,127344,9795730,23215084.6,22,1.04,2.369918792
P02692,Chrompet,816,2011,16-08-2011,183,1,1,3,Partial,No,23-08-1981,1981,Commercial,NoSewer ,Gravel,RH,4.8,2.7,3.4,3.54,320259,150122,10008100,32460246.62,30,1.04,3.24339751
P06589,T Nagar,1904,2009,19-07-2009,141,2,1,5,Adj Land,No,26-07-1983,1983,Commercial,ELO,Gravel,RH,3.5,3.6,2.2,2.94,604317,395932,20838520,57774167.06,26,1.04,2.772469785
P05923,KK Nagar,1502,2009,30-11-2009,193,2,1,4,Normal Sale,No,03-12-1996,1996,Commercial,NoSewer ,Paved,RH,4.9,4.5,4.7,4.7,466735,126145,12614460,21004003.16,13,1.04,1.665073507
P06677,T Nagar,1781,2009,28-06-2009,142,1,1,4,Adj Land,No,01-07-1999,1999,Commercial,NoSewer ,Paved,RL,4.8,4.7,5,4.865,800231,328300,20518750,30372762.42,10,1.04,1.480244285
P00631,Chrompet,1142,2013,20-11-2013,124,1,1,3,Family,No,26-11-1991,1991,Commercial,NoSewer ,No Access,RM,2.5,4.6,3.5,3.64,409834,102458,12807300,30352260.94,22,1.04,2.369918792
P00768,T Nagar,1674,2013,09-08-2013,15,1,1,4,Ab Normal,No,20-08-1969,1969,House,AllPub,No Access,RH,4.8,4.3,4.4,4.495,301894,166562,10410130,58468652.11,44,1.04,5.616515078
P04091,Adyar,781,2010,10-11-2010,164,1,1,2,Adj Land,No,13-11-1998,1998,Commercial,NoSewer ,Gravel,RH,3.1,4.8,3.5,3.64,435153,156209,11157780,17863965.27,12,1.04,1.601032219
P08764,Adyar,1274,2007,29-08-2007,166,2,2,4,Partial,No,31-08-1997,1997,Others,AllPub,No Access,RH,3.5,3.5,4.2,3.85,298722,130691,9335050,13818154.41,10,1.04,1.480244285
P04479,Karapakkam,687,2010,23-08-2010,2,1,1,2,Adj Land,No,27-08-1992,1992,Others,AllPub,No Access,RL,2,3.7,3,2.91,212891,100532,5913625,11979919.19,18,1.04,2.025816515
P06300,T Nagar,1886,2009,17-09-2009,155,2,1,5,Normal Sale,No,23-09-1987,1987,Others,AllPub,Gravel,RL,2.2,4.5,4,3.585,469477,249410,14671170,34769481.48,22,1.04,2.369918792
P01067,Anna Nagar,1815,2013,16-01-2013,48,2,1,5,Partial,No,20-01-1999,1999,Commercial,NoSewer ,No Access,RM,5,3.4,3,3.8,534986,178329,19814280,34311922,14,1.04,1.731676448
P05752,Karapakkam,1121,2009,29-12-2009,196,1,1,3,Family,No,06-01-1979,1979,Others,NoSewer ,Paved,I,4.3,2.9,3.2,3.44,216418,64340,5849125,18971037.46,30,1.04,3.24339751
P06484,Chrompet,1182,2009,09-08-2009,4,1,1,3,Family,No,11-08-2001,2001,Others,NoSewer ,Paved,RM,2.6,3.7,2.9,3.13,272644,141371,10097940,13819728.16,8,1.04,1.36856905
P05576,Anna Nagar,1864,2010,01-02-2010,198,2,1,5,Partial,No,11-02-1969,1969,Others,ELO,No Access,RM,2.3,2.6,2.9,2.615,514704,141543,12867590,64248667.62,41,1.04,4.993061453
P03334,KK Nagar,2125,2011,12-04-2011,198,3,2,5,Ab Normal,No,19-04-1983,1983,Commercial,NoSewer ,Gravel,RL,2.2,2.7,2.4,2.43,582980,416414,16656560,49948081.76,28,1.04,2.998703319
P01697,Chrompet,955,2012,24-02-2012,175,1,1,3,Adj Land,No,25-02-2006,2006,House,NoSewer ,Gravel,RM,3.4,4.4,4.7,4.19,263080,29231,9743700,12328888.92,6,1.04,1.265319018
P07563,Velachery,1625,2008,02-10-2008,2,2,1,4,Normal Sale,No,07-10-1991,1991,Commercial,NoSewer ,Paved,RH,3.4,4.8,4.5,4.36,466444,274379,13718940,26723130.02,17,1.04,1.947900496
P02215,Karapakkam,938,2011,13-11-2011,70,1,1,3,Normal Sale,No,24-11-1965,1965,House,AllPub,Gravel,C,2.3,2.2,3.7,2.83,181985,113126,4918500,29879015.49,46,1.04,6.074822709
P05056,KK Nagar,1655,2010,07-05-2010,146,2,1,4,Partial,No,14-05-1981,1981,House,NoSewer ,Gravel,RM,4.2,4.4,3.3,3.9,314995,127967,9843580,30698695.06,29,1.04,3.118651452
P00703,Chrompet,1148,2013,03-10-2013,152,1,1,3,Normal Sale,No,11-10-1980,1980,House,ELO,Gravel,RH,4.6,2.8,2.6,3.28,237195,32717,8179150,29840656.25,33,1.04,3.648381097
P02299,KK Nagar,2453,2011,29-10-2011,53,4,2,6,Family,No,02-11-1992,1992,Others,AllPub,Gravel,RM,2.2,4.9,2.6,3.17,645265,164748,13729040,28925016.61,19,1.04,2.106849176
P03233,KK Nagar,2167,2011,30-04-2011,194,3,2,5,Adj Land,No,06-05-1986,1986,Others,NoSewer ,Paved,RM,2.3,3.5,4.3,3.46,486612,124772,12477240,33262279.71,25,1.04,2.665836331
P08646,T Nagar,1545,2007,09-10-2007,17,1,1,4,Adj Land,No,10-10-2001,2001,Others,ELO,Gravel,RM,3.6,4.8,4.7,4.395,559477,139869,13986920,17697915.89,6,1.04,1.265319018
P04240,Velachery,1787,2010,08-10-2010,116,2,1,4,Adj Land,No,20-10-1961,1961,Others,NoSewer ,Paved,RH,3.9,3.6,3.2,3.56,347046,106042,9640180,65874717.94,49,1.04,6.833349371
P05485,Anna Nagar,1930,2010,16-02-2010,163,2,1,5,Partial,No,27-02-1966,1966,House,NoSewer ,Gravel,RM,2.1,3.5,2.2,2.49,457127,143669,13060780,73356067.8,44,1.04,5.616515078
P01475,T Nagar,1613,2012,13-04-2012,178,1,1,4,Partial,No,15-04-2006,2006,Commercial,NoSewer ,Paved,RH,4.5,4.9,2.3,3.61,438461,315692,17538420,22191696.38,6,1.04,1.265319018
P00375,Chrompet,726,2014,31-05-2014,74,1,1,2,Family,No,03-06-2003,2003,House,ELO,No Access,RL,3.8,3.4,2.7,3.31,163297,37684,6280650,9668772.119,11,1.04,1.539454056
P07031,Velachery,1853,2009,15-03-2009,73,3,2,5,Adj Land,No,17-03-2000,2000,Others,NoSewer ,No Access,RH,2.7,2,4.5,2.93,340605,140249,10017780,14258424.61,9,1.04,1.423311812
P09706,Velachery,1591,2006,18-01-2006,27,2,1,4,Adj Land,No,23-01-1987,1987,House,NoSewer ,Paved,I,3,3.7,3.6,3.5,309092,158723,8353830,17600259.85,19,1.04,2.106849176
P09315,Anna Nagar,1980,2007,19-01-2007,48,2,1,5,Family,No,27-01-1975,1975,Others,ELO,Gravel,RL,3.3,2.2,4.3,3.425,515980,200659,14332790,50280269.33,32,1.04,3.508058747
P02476,Adyar,808,2011,27-09-2011,88,1,1,3,Adj Land,No,01-10-1992,1992,Commercial,ELO,Paved,RM,3.9,2.6,4.6,3.99,430167,143389,11949085,25174919.89,19,1.04,2.106849176
P01626,Karapakkam,1376,2012,07-03-2012,181,2,2,4,Adj Land,No,12-03-1993,1993,House,NoSewer ,No Access,RM,2.4,2.8,5,3.56,356631,129684,8105250,17076539.28,19,1.04,2.106849176
P08989,T Nagar,1868,2007,22-05-2007,197,2,1,5,Normal Sale,No,01-06-1967,1967,Commercial,NoSewer ,Gravel,RH,2.3,2.5,2.4,2.395,781305,340569,20033450,96181006.7,40,1.04,4.801020628
P04924,Karapakkam,1311,2010,02-06-2010,48,1,1,3,Family,No,09-06-1981,1981,House,NoSewer ,Paved,RH,4,3.6,2.7,3.36,261290,84919,6532250,20371810.95,29,1.04,3.118651452
P00718,Chrompet,706,2013,18-09-2013,100,1,1,2,Normal Sale,No,26-09-1980,1980,Others,AllPub,Paved,RM,2,2.9,4.8,3.2,195474,93828,7818970,28526582.34,33,1.04,3.648381097
P04712,Karapakkam,1464,2010,13-07-2010,184,2,2,4,Normal Sale,No,14-07-2005,2005,Others,ELO,Paved,A,4.6,2.7,3.9,3.75,219546,87819,6272750,7631759.494,5,1.04,1.216652902
P01576,Adyar,648,2012,15-03-2012,143,1,1,2,Family,No,24-03-1978,1978,Commercial,NoSewer ,Gravel,RM,4,3.9,4.3,4.13,383846,82994,10374210,39363034.52,34,1.04,3.794316341
P04682,Velachery,1639,2010,19-07-2010,73,2,1,4,Partial,No,28-07-1973,1973,House,AllPub,Gravel,A,2.5,3.5,4.7,3.61,259623,119286,7016840,29948503.63,37,1.04,4.268089856
P04406,Chrompet,765,2010,08-09-2010,22,1,1,2,Partial,No,13-09-1990,1990,House,NoSewer ,No Access,RH,3.7,3.5,4.8,3.95,166373,74581,5737000,12570473.47,20,1.04,2.191123143
P03606,Anna Nagar,1765,2011,18-02-2011,117,1,1,4,Adj Land,No,23-02-1991,1991,House,NoSewer ,Gravel,RM,4.6,3.3,3.4,3.795,533085,232370,13668850,29950133.57,20,1.04,2.191123143
P06840,KK Nagar,2417,2009,09-05-2009,196,4,2,6,Partial,No,16-05-1983,1983,House,NoSewer ,Gravel,RL,4.9,2.2,2.1,2.97,343084,217286,11436120,31706297.15,26,1.04,2.772469785
P07484,Chrompet,1188,2008,26-10-2008,9,1,1,3,Adj Land,No,28-10-2003,2003,Others,ELO,Gravel,RH,3.7,2.9,2.4,2.99,274330,88178,9797510,11920168.98,5,1.04,1.216652902
P07127,T Nagar,1810,2009,13-02-2009,128,2,1,5,Normal Sale,No,15-02-2002,2002,Commercial,NoSewer ,No Access,RM,4.7,4.6,4.5,4.585,715452,347505,20441490,26899606.31,7,1.04,1.315931779
P01738,KK Nagar,1564,2012,17-02-2012,6,2,1,4,Partial,No,19-02-2004,2004,House,AllPub,Gravel,RM,2.9,2.9,3.2,3.02,500968,100194,10019360,13712186,8,1.04,1.36856905
P01654,Karapakkam,1211,2012,02-03-2012,88,1,1,3,Adj Land,No,09-03-1984,1984,Commercial,NoSewer ,Gravel,A,4.7,2.2,4.2,3.75,348705,153090,8505000,25503971.73,28,1.04,2.998703319
P09403,Velachery,1530,2006,20-12-2006,174,2,1,4,Partial,No,30-12-1967,1967,Commercial,ELO,No Access,I,4,2.4,2.2,2.74,401494,184470,10851180,50093018.29,39,1.04,4.616365988
P03147,Chrompet,780,2011,18-05-2011,94,1,1,2,Normal Sale,No,24-05-1987,1987,House,ELO,No Access,RM,4.7,3.5,4.4,4.13,232980,42360,7060000,18096927.4,24,1.04,2.563304165
P04973,Chrompet,1195,2010,25-05-2010,43,1,1,3,Ab Normal,No,26-05-2004,2004,House,NoSewer ,Gravel,RM,2.6,2.9,3.9,3.11,285894,81684,10210500,12919539.84,6,1.04,1.265319018
P07817,Adyar,921,2008,23-07-2008,163,1,1,3,Normal Sale,No,26-07-1998,1998,Others,AllPub,No Access,I,3.5,2.5,2,2.55,222526,64604,7178250,10625563.54,10,1.04,1.480244285
P08136,Adyar,607,2008,11-04-2008,124,1,1,2,Partial,No,13-04-2001,2001,House,ELO,Gravel,C,3.5,4.4,4.6,4.23,204558,53831,5383105,7083798.94,7,1.04,1.315931779
P02657,Adyar,712,2011,25-08-2011,37,1,1,2,Ab Normal,No,28-08-1996,1996,House,AllPub,No Access,RL,4.7,2.6,4.2,4.03,237253,13956,6978025,12567028.81,15,1.04,1.800943506
P07181,KK Nagar,2312,2009,27-01-2009,88,4,2,6,Normal Sale,No,30-01-1999,1999,House,NoSewer ,Gravel,RM,2.6,3.8,4.6,3.76,565641,100558,12569800,18606374.61,10,1.04,1.480244285
